iter	Passed	Remaining
0	139	139362
1	140	69974
2	142	47386
3	144	35874
4	145	28877
5	145	24160
6	146	20803
7	147	18286
8	148	16325
9	149	14753
10	149	13461
11	150	12387
12	151	11477
13	152	10707
14	153	10053
15	153	9462
16	155	8968
17	155	8503
18	156	8086
19	157	7708
20	158	7370
21	158	7059
22	159	6776
23	160	6516
24	160	6278
25	161	6058
26	162	5856
27	163	5667
28	164	5506
29	165	5347
30	166	5207
31	167	5066
32	168	4930
33	168	4800
34	169	4677
35	170	4562
36	171	4453
37	172	4355
38	172	4259
39	173	4168
40	174	4077
41	175	3992
42	175	3910
43	176	3832
44	177	3757
45	177	3685
46	178	3616
47	179	3550
48	180	3494
49	181	3440
50	181	3384
51	182	3329
52	183	3276
53	184	3228
54	185	3181
55	186	3136
56	186	3091
57	187	3046
58	188	3003
59	189	2963
60	189	2923
61	190	2883
62	191	2846
63	192	2812
64	193	2777
65	193	2744
66	194	2714
67	195	2678
68	196	2647
69	197	2617
70	198	2596
71	199	2568
72	200	2540
73	200	2513
74	201	2485
75	202	2460
76	203	2433
77	203	2408
78	204	2384
79	205	2361
80	206	2339
81	207	2318
82	208	2298
83	209	2279
84	209	2255
85	210	2236
86	211	2214
87	212	2199
88	213	2180
89	213	2162
90	214	2144
91	215	2128
92	216	2112
93	217	2096
94	218	2079
95	219	2063
96	219	2046
97	220	2029
98	221	2013
99	221	1997
100	222	1982
101	223	1965
102	224	1951
103	224	1937
104	225	1923
105	226	1909
106	227	1896
107	227	1883
108	228	1870
109	229	1856
110	230	1843
111	230	1829
112	231	1817
113	232	1804
114	232	1792
115	233	1779
116	234	1769
117	235	1758
118	235	1746
119	237	1740
120	238	1731
121	239	1721
122	239	1707
123	240	1696
124	241	1689
125	242	1679
126	242	1669
127	243	1657
128	244	1647
129	244	1639
130	245	1629
131	246	1619
132	246	1609
133	247	1600
134	248	1590
135	248	1581
136	249	1571
137	250	1562
138	250	1554
139	251	1546
140	252	1537
141	253	1529
142	254	1522
143	255	1517
144	255	1508
145	256	1500
146	257	1492
147	257	1484
148	258	1476
149	259	1468
150	259	1460
151	260	1452
152	261	1445
153	261	1438
154	262	1431
155	263	1424
156	264	1417
157	265	1412
158	265	1406
159	266	1399
160	267	1393
161	268	1387
162	268	1380
163	269	1374
164	270	1368
165	271	1362
166	271	1356
167	272	1350
