iter	Passed	Remaining
0	4	4893
1	6	3166
2	7	2605
3	9	2280
4	10	2052
5	11	1908
6	12	1788
7	14	1755
8	18	2064
9	20	1983
10	21	1920
11	22	1881
12	24	1856
13	26	1859
14	27	1834
15	29	1789
16	33	1915
17	35	1946
18	37	1936
19	38	1895
20	39	1856
21	40	1820
22	42	1789
23	43	1764
24	47	1868
25	49	1863
26	51	1838
27	52	1812
28	53	1790
29	54	1771
30	55	1748
31	57	1744
32	58	1725
33	62	1769
34	64	1766
35	65	1759
36	67	1761
37	68	1745
38	70	1726
39	72	1728
40	73	1717
41	76	1746
42	78	1742
43	80	1738
44	81	1723
45	82	1709
46	83	1692
47	84	1685
48	86	1677
49	87	1666
50	89	1669
51	91	1676
52	93	1664
53	94	1654
54	95	1640
55	96	1627
56	97	1614
57	98	1602
58	99	1594
59	101	1597
60	108	1663
61	109	1658
62	111	1664
63	113	1656
64	114	1644
65	116	1655
66	118	1646
67	120	1655
68	122	1651
69	123	1644
70	124	1634
71	126	1628
72	127	1620
73	128	1613
74	130	1606
75	131	1597
76	132	1590
77	135	1598
78	136	1594
79	138	1588
80	140	1588
81	141	1583
82	142	1574
83	144	1572
84	146	1572
85	150	1601
86	152	1599
87	154	1598
88	155	1591
89	156	1584
90	157	1576
91	159	1569
92	160	1561
93	161	1552
94	162	1545
95	164	1549
96	166	1545
97	167	1543
98	168	1536
99	170	1530
100	171	1524
101	172	1518
102	173	1513
103	174	1507
104	176	1500
105	177	1500
106	179	1496
107	181	1499
108	182	1494
109	184	1488
110	185	1484
111	186	1480
112	188	1475
113	189	1470
114	191	1469
115	194	1478
116	195	1474
117	197	1474
118	199	1477
119	201	1474
120	202	1472
121	204	1468
122	205	1464
123	208	1470
124	209	1466
125	211	1464
126	212	1459
127	213	1455
128	215	1454
129	216	1450
130	217	1444
131	218	1439
132	221	1443
133	223	1444
134	225	1442
135	226	1440
136	228	1436
137	229	1431
138	230	1426
139	231	1420
140	232	1414
141	232	1407
142	234	1406
143	236	1403
144	237	1402
145	239	1398
146	240	1394
147	241	1391
148	242	1387
149	244	1384
150	245	1381
151	247	1382
152	249	1380
153	250	1376
154	251	1372
155	253	1370
156	254	1368
157	256	1366
158	258	1367
159	259	1364
160	260	1358
161	264	1370
162	266	1367
163	267	1364
164	268	1361
165	270	1357
166	271	1352
167	272	1348
168	273	1344
169	274	1341
170	276	1338
171	278	1339
172	279	1336
173	282	1341
174	284	1338
175	290	1359
176	293	1365
177	295	1363
178	296	1359
179	297	1355
180	298	1350
181	299	1346
182	300	1343
183	302	1339
184	304	1339
185	305	1336
186	308	1339
187	310	1340
188	311	1338
189	313	1335
190	314	1331
191	315	1327
192	316	1323
193	317	1320
194	319	1317
195	321	1318
196	323	1317
197	324	1315
198	326	1314
199	328	1313
200	329	1310
201	332	1313
202	333	1310
203	334	1306
204	337	1308
205	338	1305
206	339	1301
207	340	1298
208	341	1294
209	343	1290
210	345	1290
211	346	1288
212	348	1288
213	350	1288
214	353	1289
215	355	1288
216	356	1287
217	358	1287
218	360	1284
219	361	1281
220	362	1277
221	363	1274
222	368	1282
223	370	1281
224	371	1281
225	373	1280
226	376	1280
227	378	1280
228	380	1281
229	383	1285
230	385	1282
231	386	1279
232	387	1276
233	388	1273
234	390	1272
235	392	1269
236	394	1270
237	396	1269
238	398	1268
239	400	1267
240	401	1265
241	402	1261
242	403	1258
243	405	1255
244	406	1251
245	413	1267
246	415	1266
247	416	1263
248	418	1260
249	419	1257
250	420	1254
251	422	1253
252	424	1253
253	426	1252
254	427	1249
255	428	1245
256	430	1243
257	431	1240
258	432	1237
259	433	1234
260	434	1230
261	436	1228
262	437	1225
